Player,Span,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5
GD McGrath (AUS),1996-2007,39,39,325.5,42,1292,71,Jul-15,18.19,3.96,27.5,0,2
M Muralitharan (SL),1996-2011,40,39,343.3,15,1335,68,Apr-19,19.63,3.88,30.3,4,0
SL Malinga (SL),2007-2019,29,28,232.2,11,1281,56,Jun-38,22.87,5.51,24.8,2,1
Wasim Akram (PAK),1987-2003,38,36,324.3,17,1311,55,May-28,23.83,4.04,35.4,2,1
MA Starc (AUS),2015-2019,18,18,156.1,8,726,49,Jun-28,14.81,4.64,19.1,3,3
WPUJC Vaas (SL),1996-2007,31,31,261.4,39,1040,49,Jun-25,21.22,3.97,32,1,1
Z Khan (INDIA),2003-2011,23,23,198.5,12,890,44,Apr-42,20.22,4.47,27.1,1,0
J Srinath (INDIA),1992-2003,34,33,283.2,21,1224,44,Apr-30,27.81,4.32,38.6,2,0
Imran Tahir (SA),2011-2019,22,21,191.5,7,847,40,May-45,21.17,4.41,28.7,4,1
TA Boult (NZ),2015-2019,19,19,184,18,850,39,May-27,21.79,4.61,28.3,3,1
AA Donald (SA),1992-2003,25,25,218.5,14,913,38,Apr-17,24.02,4.17,34.5,2,0
JDP Oram (NZ),2003-2011,23,23,182.2,21,768,36,Apr-39,21.33,4.21,30.3,2,0
DL Vettori (NZ),2003-2015,32,31,281.3,12,1168,36,Apr-18,32.44,4.14,46.9,2,0
B Lee (AUS),2003-2011,17,17,137.3,15,629,35,May-42,17.97,4.57,23.5,2,1
Wahab Riaz (PAK),2011-2019,20,20,166.4,5,926,35,May-46,26.45,5.55,28.5,1,1
GB Hogg (AUS),2003-2007,21,20,158.3,10,654,34,Apr-27,19.23,4.12,27.9,2,0
Imran Khan (PAK),1975-1992,28,19,169.3,18,655,34,Apr-37,19.26,3.86,29.9,2,0
SW Tait (AUS),2007-2011,18,18,136.3,4,731,34,Apr-39,21.5,5.35,24,1,0
TG Southee (NZ),2011-2019,18,18,162.2,16,854,34,Jul-33,25.11,5.26,28.6,0,1
Shakib Al Hasan (BDESH),2007-2019,29,29,238.5,2,1222,34,May-29,35.94,5.11,42.1,1,1
SK Warne (AUS),1996-1999,17,17,162.5,16,624,32,Apr-29,19.5,3.83,30.5,4,0
CZ Harris (NZ),1992-2003,28,27,194.2,10,861,32,04-Jul,26.9,4.43,36.4,1,0
Mohammed Shami (INDIA),2015-2019,11,11,96.1,9,487,31,May-69,15.7,5.06,18.6,3,1
A Kumble (INDIA),1996-2007,18,18,173.1,5,708,31,Apr-32,22.83,4.08,33.5,1,0
SM Pollock (SA),1996-2007,31,31,269,37,970,31,May-36,31.29,3.6,52,0,1
SE Bond (NZ),2003-2007,16,16,147.4,21,518,30,Jun-23,17.26,3.5,29.5,0,1
IT Botham (ENG),1979-1992,22,22,222,33,762,30,Apr-31,25.4,3.43,44.4,1,0
Shoaib Akhtar (PAK),1999-2011,19,18,148.5,9,765,30,Apr-46,25.5,5.13,29.7,1,0
Shahid Afridi (PAK),1999-2015,27,24,184,7,831,30,May-16,27.7,4.51,36.8,2,2
PAJ DeFreitas (ENG),1987-1996,22,22,187.5,30,742,29,Mar-28,25.58,3.95,38.8,0,0
N Kapil Dev (INDIA),1979-1992,26,25,237,27,892,28,May-43,31.85,3.76,50.7,0,1
CA Walsh (WI),1987-1999,17,17,158,23,547,27,Apr-25,20.25,3.46,35.1,2,0
CJ McDermott (AUS),1987-1996,17,17,149,8,599,27,May-44,22.18,4.02,33.1,1,1
SR Waugh (AUS),1987-1999,33,26,173.1,7,814,27,Mar-36,30.14,4.7,38.4,0,0
ST Jayasuriya (SL),1992-2007,38,31,219.1,4,1060,27,03-Dec,39.25,4.83,48.7,0,0
JM Anderson (ENG),2003-2015,25,25,209,9,1081,27,Apr-25,40.03,5.17,46.4,2,0
M Morkel (SA),2011-2015,14,14,108.3,4,506,26,Mar-33,19.46,4.66,25,0,0
Mushtaq Ahmed (PAK),1992-1996,15,14,135,5,549,26,Mar-16,21.11,4.06,31.1,0,0
AME Roberts (WI),1975-1983,16,16,170.1,29,552,26,Mar-32,21.23,3.24,39.2,0,0
DW Fleming (AUS),1996-1999,16,16,133.2,12,583,26,May-36,22.42,4.37,30.7,0,1
MG Johnson (AUS),2011-2015,15,15,121,9,557,25,Apr-19,22.28,4.6,29,3,0
CEL Ambrose (WI),1992-1999,17,17,164.3,20,499,24,Mar-28,20.79,3.03,41.1,0,0
Abdul Qadir (PAK),1983-1987,13,13,135.4,8,506,24,May-44,21.08,3.72,33.9,2,1
M Prabhakar (INDIA),1987-1996,19,18,145.1,10,640,24,Apr-19,26.66,4.4,36.2,1,0
Saqlain Mushtaq (PAK),1996-2003,14,14,112.2,7,494,23,May-35,21.47,4.39,29.3,0,1
A Flintoff (ENG),1999-2007,18,17,135.4,12,534,23,Apr-43,23.21,3.93,35.3,1,0
DW Steyn (SA),2011-2015,14,14,115,10,538,23,May-50,23.39,4.67,30,0,1
AD Russell (WI),2011-2019,14,14,100.1,9,576,23,Apr-49,25.04,5.75,26.1,1,0
JE Taylor (WI),2007-2015,14,14,121.3,5,634,23,Mar-15,27.56,5.21,31.6,0,0
TM Odoyo (KENYA),1996-2011,25,24,169,12,817,23,Apr-28,35.52,4.83,44,1,0
